iter	Passed	Remaining
0	7	7558
1	15	7972
2	24	8209
3	31	7945
4	38	7682
5	45	7484
6	51	7283
7	58	7261
8	65	7209
9	70	6989
10	75	6817
11	82	6810
12	90	6873
13	97	6848
14	104	6850
15	111	6863
16	118	6852
17	125	6851
18	132	6838
19	138	6806
20	145	6784
21	152	6796
22	160	6808
23	167	6822
24	174	6799
25	181	6791
26	189	6821
27	198	6882
28	207	6933
29	214	6928
30	222	6966
31	229	6944
32	236	6942
33	243	6926
34	250	6919
35	257	6906
36	265	6897
37	271	6875
38	277	6843
39	284	6834
40	291	6823
41	298	6809
42	305	6790
43	312	6792
44	319	6778
45	326	6762
46	333	6755
47	340	6746
48	346	6732
49	353	6716
50	358	6675
51	364	6643
52	370	6611
53	374	6565
54	379	6526
55	385	6490
56	389	6451
57	395	6424
58	400	6391
59	405	6358
60	410	6321
61	416	6303
62	421	6268
63	426	6238
64	431	6213
65	436	6182
66	441	6153
67	447	6128
68	451	6098
69	456	6065
70	461	6038
71	466	6014
72	471	5989
73	476	5960
74	480	5930
75	486	5913
76	491	5896
77	498	5890
78	504	5878
79	510	5872
80	516	5861
81	522	5850
82	528	5842
83	534	5832
84	540	5823
85	546	5807
86	552	5793
87	557	5775
88	562	5758
89	568	5743
90	573	5729
91	580	5729
92	587	5731
93	593	5717
94	598	5697
95	603	5682
96	609	5669
97	614	5655
98	619	5641
99	624	5624
100	629	5606
101	635	5593
102	641	5584
103	646	5572
104	652	5561
105	657	5544
106	662	5529
107	668	5517
108	673	5504
109	678	5487
110	684	5479
111	690	5472
112	695	5462
113	700	5444
114	706	5434
115	711	5423
116	717	5413
117	723	5406
118	728	5396
119	734	5382
120	739	5372
121	745	5362
122	750	5351
123	755	5339
124	760	5325
125	765	5307
126	770	5294
127	775	5285
128	780	5271
129	786	5261
130	790	5246
131	796	5236
132	800	5220
133	806	5214
134	811	5199
135	816	5188
136	821	5174
137	826	5161
138	831	5152
139	837	5142
140	842	5129
141	846	5114
142	851	5105
143	857	5096
144	862	5083
145	866	5069
